state,county_state,pop09,pop1049,pop59,pop69,pop79,pop89
FL,FL 12127,52572,109813,76696,83866,62533,34358
FL,FL 12129,3619,7643,4826,4121,2552,936
FL,FL 12131,8423,16329,10925,11069,6946,2876
FL,FL 12133,2700,5592,3588,3033,2130,865
GA,GA 13001,2483,4931,2369,2256,1534,717
GA,GA 13003,1168,2346,1039,897,553,238
GA,GA 13005,1540,3095,1335,1344,802,405
GA,GA 13007,313,651,441,484,309,172
GA,GA 13009,4391,11238,5556,5315,3341,1605
GA,GA 13011,2233,4709,2737,2335,1728,620
GA,GA 13013,11559,23213,10350,8149,4938,2037
GA,GA 13015,13657,28116,15085,11909,7358,2997
GA,GA 13017,2172,4478,2165,2176,1348,635
GA,GA 13019,2424,5083,2679,2276,1570,773
GA,GA 13021,20769,41907,18513,17438,10736,5771
GA,GA 13023,1353,3485,1722,1365,1000,622
GA,GA 13025,2333,4858,2766,2355,1457,698
GA,GA 13027,1826,3659,2285,2124,1507,626
GA,GA 13029,6257,12572,4385,3307,1926,803
GA,GA 13031,8834,22433,8055,7104,4174,1883
GA,GA 13033,3084,6295,2975,2836,1584,703
GA,GA 13035,2828,5654,3391,2790,1792,860
GA,GA 13037,519,1172,806,664,442,284
GA,GA 13039,7700,14522,6316,5653,3764,1385
GA,GA 13043,1411,2936,1374,1327,968,387
GA,GA 13045,15188,33160,14593,12294,7556,3478
GA,GA 13047,7713,16769,9231,8128,5680,2746
GA,GA 13049,1384,2735,1746,1418,994,501
GA,GA 13051,34256,69730,34355,32470,20695,10365
GA,GA 13053,1704,3069,512,380,238,155
GA,GA 13055,3001,6118,3251,3097,1988,1015
GA,GA 13057,31544,68179,36636,28427,18198,6534
GA,GA 13059,12844,31378,11276,10875,6296,3087
GA,GA 13061,301,610,350,486,357,174
GA,GA 13063,44399,89005,35930,26722,12259,4431
GA,GA 13065,911,1806,832,785,525,214
GA,GA 13067,94274,196596,102113,76962,43600,18973
GA,GA 13069,5928,11745,5405,4351,2811,1215
GA,GA 13071,6335,12856,5587,4887,3252,1719
