state,county_state,pop09,pop1049,pop59,pop69,pop79,pop89
Georgia,Georgia 13075,2264,4711,2242,1971,1318,643
Georgia,Georgia 13077,18429,39210,21646,16010,10050,4083
Georgia,Georgia 13079,1249,2752,2061,1740,1176,428
Georgia,Georgia 13081,2792,5859,2955,2914,1857,1044
Georgia,Georgia 13083,1647,3695,2113,2270,1458,709
Georgia,Georgia 13085,2727,5800,3785,3546,2673,908
Georgia,Georgia 13087,3536,7066,3407,3051,1949,1080
Georgia,Georgia 13089,101298,191830,94739,77685,41767,20859
Georgia,Georgia 13091,2103,4450,2901,2605,1706,936
Georgia,Georgia 13093,1085,2482,1891,1947,1318,616
Georgia,Georgia 13095,11661,24244,10279,10339,6136,3444
Georgia,Georgia 13097,19173,41505,20233,14354,7998,3128
Georgia,Georgia 13099,1342,2770,1321,1219,932,492
Georgia,Georgia 13101,564,1149,478,409,219,146
Georgia,Georgia 13103,9161,18472,8303,6343,3483,1411
Georgia,Georgia 13105,2313,4570,2623,2571,1872,989
Georgia,Georgia 13107,3086,6223,2777,2611,1693,817
Georgia,Georgia 13109,1511,3068,1364,1181,803,407
Georgia,Georgia 13111,2205,4683,3708,5122,3755,1667
Georgia,Georgia 13113,12037,29439,17308,15194,10007,4463
Georgia,Georgia 13115,12071,25874,12473,11256,7450,4045
Georgia,Georgia 13117,32481,71694,34207,21124,14751,5964
Georgia,Georgia 13119,2828,5826,3120,2979,2037,1023
Georgia,Georgia 13121,123405,259877,135260,99201,55792,28101
Georgia,Georgia 13123,3232,6534,4491,5376,3798,1506
Georgia,Georgia 13125,303,716,426,375,243,134
Georgia,Georgia 13127,9718,20201,11296,11599,8505,3847
Georgia,Georgia 13129,7102,15320,8036,6279,4055,1872
Georgia,Georgia 13131,3255,6658,3341,3004,2098,1045
Georgia,Georgia 13133,1954,3747,2337,3257,2725,1000
Georgia,Georgia 13135,128431,274217,126634,86130,43244,17806
Georgia,Georgia 13137,5368,11384,5790,5447,3996,1920
Georgia,Georgia 13139,26725,56158,26462,21360,14727,6971
Georgia,Georgia 13141,636,1436,1201,1286,925,445
